x,T_K,Dn_m2_per_s,Dp_m2_per_s
0.532598,323.15,4.000000e-15,4.000000e-15
0.537613,323.15,4.000000e-15,4.000000e-15
0.542628,323.15,4.000000e-15,4.000000e-15
0.547643,323.15,4.000000e-15,4.000000e-15
0.552658,323.15,4.000000e-15,4.000000e-15
0.557673,323.15,4.000000e-15,4.000000e-15
0.562688,323.15,4.000000e-15,4.000000e-15
0.567704,323.15,4.000000e-15,4.000000e-15
0.572719,323.15,4.000000e-15,4.000000e-15
0.577734,323.15,4.000000e-15,4.000000e-15
0.582749,323.15,4.000000e-15,4.000000e-15
0.587764,323.15,4.000000e-15,4.000000e-15
0.592779,323.15,4.000000e-15,4.000000e-15
0.597794,323.15,4.000000e-15,4.000000e-15
0.602809,323.15,4.000000e-15,4.000000e-15
0.607824,323.15,4.000000e-15,4.000000e-15
0.612839,323.15,4.000000e-15,4.000000e-15
0.617854,323.15,4.000000e-15,4.000000e-15
0.622869,323.15,4.000000e-15,4.000000e-15
0.627884,323.15,4.000000e-15,4.000000e-15
0.632899,323.15,4.000000e-15,4.000000e-15
0.637915,323.15,4.000000e-15,4.000000e-15
0.642930,323.15,4.000000e-15,4.000000e-15
0.647945,323.15,4.000000e-15,4.000000e-15
0.652960,323.15,4.000000e-15,4.000000e-15
0.657975,323.15,4.000000e-15,4.000000e-15
0.662990,323.15,4.000000e-15,4.000000e-15
0.668005,323.15,4.000000e-15,4.000000e-15
0.673020,323.15,4.000000e-15,4.000000e-15
0.678035,323.15,4.000000e-15,4.000000e-15
0.683050,323.15,4.000000e-15,4.000000e-15
0.688065,323.15,4.000000e-15,4.000000e-15
0.693080,323.15,4.000000e-15,4.000000e-15
0.698095,323.15,4.000000e-15,4.000000e-15
0.703111,323.15,4.000000e-15,4.000000e-15
0.708126,323.15,4.000000e-15,4.000000e-15
0.713141,323.15,4.000000e-15,4.000000e-15
0.718156,323.15,4.000000e-15,4.000000e-15
0.723171,323.15,4.000000e-15,4.000000e-15
0.728186,323.15,4.000000e-15,4.000000e-15
0.733201,323.15,4.000000e-15,4.000000e-15
0.738216,323.15,4.000000e-15,4.000000e-15
0.743231,323.15,4.000000e-15,4.000000e-15
0.748246,323.15,4.000000e-15,4.000000e-15
0.753261,323.15,4.000000e-15,4.000000e-15
