x,Up_V,Un_V,OCV_V
0.09032100,4.60310247,0.43844046,4.16466201
0.09082000,4.60266302,0.43674924,4.16591378
0.09131900,4.60222308,0.43506610,4.16715698
0.09181800,4.60178263,0.43339043,4.16839219
0.09231700,4.60134167,0.43172167,4.16962000
0.09281600,4.60090019,0.43005923,4.17084096
0.09331500,4.60045819,0.42840256,4.17205563
0.09381400,4.60001566,0.42675112,4.17326455
0.09431300,4.59957259,0.42510436,4.17446823
0.09481200,4.59912898,0.42346177,4.17566721
0.09531100,4.59868481,0.42182285,4.17686196
0.09581000,4.59824008,0.42018710,4.17805298
0.09630900,4.59779478,0.41855405,4.17924073
0.09680800,4.59734891,0.41692323,4.18042567
0.09730700,4.59690245,0.41529421,4.18160824
0.09780600,4.59645541,0.41366655,4.18278885
0.09830500,4.59600776,0.41203984,4.18396792
0.09880400,4.59555951,0.41041368,4.18514583
0.09930300,4.59511064,0.40878769,4.18632295
0.09980200,4.59466115,0.40716150,4.18749964
0.10030100,4.59421102,0.40553478,4.18867625
0.10080000,4.59376026,0.40390718,4.18985307
0.10129900,4.59330884,0.40227841,4.19103043
0.10179800,4.59285677,0.40064817,4.19220860
0.10229700,4.59240403,0.39901620,4.19338783
0.10279600,4.59195062,0.39738223,4.19456839
0.10329500,4.59149652,0.39574605,4.19575048
0.10379400,4.59104173,0.39410743,4.19693431
0.10429300,4.59058624,0.39246618,4.19812006
0.10479200,4.59013003,0.39082214,4.19930789
0.10529100,4.58967310,0.38917516,4.20049795
0.10579000,4.58921544,0.38752510,4.20169034
0.10628900,4.58875704,0.38587187,4.20288517
0.10678800,4.58829789,0.38421538,4.20408252
0.10728700,4.58783798,0.38255556,4.20528242
0.10778600,4.58737730,0.38089238,4.20648492
0.10828500,4.58691584,0.37922582,4.20769002
0.10878400,4.58645358,0.37755588,4.20889770
0.10928300,4.58599052,0.37588259,4.21010794
0.10978200,4.58552665,0.37420600,4.21132066
0.11028100,4.58506196,0.37252617,4.21253579
0.11078000,4.58459644,0.37084321,4.21375322
0.11127900,4.58413006,0.36915723,4.21497283
0.11177800,4.58366284,0.36746837,4.21619447
0.11227700,4.58319474,0.36577678,4.21741796
0.11277600,4.58272576,0.36408265,4.21864312
0.11327500,4.58225590,0.36238617,4.21986973
0.11377400,4.58178513,0.36068756,4.22109757
0.11427300,4.58131345,0.35898708,4.22232637
0.11477200,4.58084084,0.35728498,4.22355586
0.11527100,4.58036729,0.35558153,4.22478576
